問題番号,設問,正解,選択肢1,選択肢1解説,選択肢2,選択肢2解説,選択肢3,選択肢3解説,選択肢4,選択肢4解説,ドメイン
問題52,Kelly Innovations LLCは、クラウドストレージソリューションの新しいベンダーの選定を進めています。選定プロセスの一環として、ITマネージャーのJamario氏は、候補となるベンダーの過去の財務的安定性、顧客、サイバーセキュリティインシデントの履歴をレビューしている。Jamarioはベンダー選定プロセスのどの側面を重視していますか？,デューデリジェンス,サービスレベル契約,サービスレベル契約は、サービスプロバイダーとエンドユーザーとの間の契約であり、サービスプロバイダーに期待されるサービスレベルを定義するものであって、評価プロセスそのものではありません。回答は不正解です,サプライチェーン分析,サプライチェーン分析とは、材料、情報、財務がサプライチェーンを通過する際の流れを調査することに重点を置くものです。重要ではありますが、デューデリジェンスに内在する広範なレビューをカバーするものではありません。,デューデリジェンス,デューデリジェンスには、ベンダーの財務的安定性、評判、過去の実績などの観点から、その商業的可能性を評価するための包括的な評価が含まれます。,秘密保持契約,秘密保持契約は、プロバイダーとサービスを求める企業との間に秘密保持関係を確立する法的拘束力のある契約です。この契約により、特定の情報の機密保持が保証されます。,"Threats, Vulnerabilities, and Mitigations"
問題56,Dion Training社は最近、eラーニング・プラットフォーム用に新しいウェブサーバーを設置しました。ITチームは、潜在的な攻撃を軽減するためのセキュリティ対策の実施を任されています。次のうち、サーバーの堅牢化に最も効果的な対策はどれですか？,最小特権原則の導入とパッチ管理,使用していないサービスやインターフェイスの無効化,使用されていないサービスを無効にすると、潜在的な脆弱性を最小限に抑えることができます。ただし、これは包括的なサーバー強化戦略の1つの側面にすぎません。,最小特権原則の導入とパッチ管理,ユーザーに必要なアクセスのみを許可することで、潜在的な脅威を制限します。また、サーバーソフトウェアを定期的に更新することも、脆弱性を軽減する上で重要な役割を果たします。,全ユーザーへのゲストアカウントの設定,ゲストアカウントではさらに多くの脆弱性が発生する可能性があります。許可されていないユーザーに不必要なアクセスを提供する可能性がありますので、これはベストプラクティスではありません。,サーバーのストレージ容量の増加,ストレージを増やすとサーバーのパフォーマンスは向上しますが、サーバーのセキュリティは向上しません。,Security Operations
問題64,オンラインで活動しているある組織は、潜在的なセキュリティの脅威を懸念しており、サイバーセキュリティ対策を強化したいと考えています。ネットワークセキュリティを強化し、既知の悪意のあるWebサイトや不適切なWebサイトへのアクセスをプロアクティブにブロックするために、この組織に最も適した機能の変更はどれでしょうか？,DNSフィルタリングの実装,全従業員への生体認証の導入,生体認証の実装は、指紋や顔認識などの固有の物理的特徴を使用してユーザー認証を強化する強力なセキュリティ対策です。生体認証は、従来のパスワードと比較してより安全な方法を提供します。ただし、生体認証は推奨されるセキュリティ対策ではありますが、悪意のあるWebサイトを事前にブロックすることに直接対処するものではありません。全従業員によるファイル共有はコラボレーションやデータ交換を促進する可能性がありますが、適切に制御および監視されていない場合はセキュリティリスクを引き起こす可能性もあり、これを無効にすることは現実的な解決策ではありません。,DNSフィルタリングの実装,DNSフィルタリングの実装は、ネットワークセキュリティを強化し、既知の悪意のあるWebサイトや不適切なWebサイトへのアクセスを積極的にブロックするための非常に効果的なセキュリティ対策です。DNSフィルタリングには、ユーザーが危険なドメインにアクセスするのを防ぐために、ドメインネームシステム(DNS)クエリの制御とフィルタリングが含まれます。DNSフィルタリングを実装することで、組織は悪意のあるWebサイトへのアクセス、フィッシング行為、その他のサイバーセキュリティの脅威をネットワークに到達する前にブロックできます。DNSフィルタリングは、Webベースの脅威に対する追加の防御層を提供し、組織のセキュリティ体制を大幅に向上させます。,全従業員のファイル共有を無効にします,ファイル共有を制御するファイアウォールルールは、機密データへの不正アクセスを防止しますが、業務の効率化を阻害してしまう恐れがあります。また、ウェブサイトのブロックとは関係がありません。回答は不正解です,ディープパケットインスペクションによる次世代ファイアウォールの導入,ネットワークセキュリティを強化するには、ディープパケットインスペクションを備えた次世代ファイアウォール(NGFW)の導入が推奨されるセキュリティ対策です。NGFWはアプリケーション層でネットワークトラフィックを検査し、悪意のあるコンテンツの特定とブロックを可能にします。NGFWはセキュリティを強化できますが、既知の悪意のあるWebサイトまたは不適切なWebサイトへのアクセスを積極的にブロックする機能は有していません。,Security Operations
問題6,Kelly InnovationsLLCは、新しい決済ゲートウェイをアプリケーションに統合しました。特にデータ侵害や財務データの漏洩に関連した潜在的なセキュリティ上のギャップが存在しないようにするには、次のアクションのうちどれが最も効果的ですか?,侵入テストのテスターを関与させて、実際のハッキング手法を模倣します,侵入テストのテスターを関与させて、実際のハッキング手法を模倣します,侵入テストでは実際のサイバー攻撃シナリオをシミュレートし、決済ゲートウェイが既知の悪用手法に対して耐性があることを確認します。,支払いモジュール用の新しい侵入検知システムを導入します,侵入検知は攻撃を監視しますが、統合における潜在的な脆弱性を積極的に特定するわけではありません。,アプリケーションユーザーに対して2要素認証が有効になっていることを確認します,2要素認証はユーザーのセキュリティを強化しますが、新しい支払いゲートウェイの堅牢性を直接評価するものではありません。回答は不正解です,統合後にアプリケーションを最新バージョンに更新します,アップデートは重要ですが、新しく統合されたコンポーネントのセキュリティを保証するものではありません。,Security Operations
問題13,コンプライアンス関連レポートの正確性と完全性の検証を最もよく表す用語は次のうちどれですか?,認証,行政検査,行政検査は、組織が特定の規制や業界標準に準拠していることを確認するために、政府機関または規制機関によって実施される外部評価です。行政検査では、組織のコンプライアンスの実践、管理、プロセスが徹底的にレビューされ、適用される規則や要件との整合性が評価されます。,内部評価,内部評価には、確立されたコンプライアンス要件の順守に関する組織の内部評価が含まれます。このプロセスには、必要な規制基準やセキュリティ基準を確実に満たしていることを確認するために、組織のコンプライアンスチームが実施する自己評価、内部監査、レビューが含まれる場合があります。,独立した第三者監査,独立した第三者監査には、独立した監査人または第三者組織によって実施される外部の公平な評価が含まれます。この監査の目的は、組織のコンプライアンス状況を客観的に評価することです。独立した第三者による監査は、組織によるコンプライアンスの主張を検証するためによく使用され、コンプライアンスレポートの信頼性を高めることができます。,認証,認証とは、コンプライアンスレポートの正確性と完全性を確認するプロセスを指す用語です。これには、組織の特定の規制または基準への準拠に関する正式な声明または宣言を提供することが含まれます。認証は、組織の経営陣が内部で行うことも、第三者の監査人が外部で行うこともできます。,Security Program Management and Oversight
問題22,コンプライアンス要件を満たし、組織にとっての価値を最大化するために、保存されたデータの整理、分類、ライフサイクル管理に主に関係する実践は次のうちどれですか?,データのインベントリと保持,データ認証,データ認証では、データハンドラーまたは関係者がさまざまな段階でデータの正確性と整合性を確認する必要があります。データ品質の確保には役立ちますが、古さや関連性に基づいてデータを追跡したり破棄したりすることを中心としたものではありません。,データのインベントリと保持,データのインベントリと保持には、組織内でのデータを全体にわたって追跡することが含まれます。これは、どのようなデータがどこに保存されているかを理解し、コンプライアンスと組織のニーズに合わせてデータが適切に保持または破棄されることを保証するのに役立ちます。,データガバナンス,データガバナンスには、重要なデータ資産が企業全体で正式に管理されることを保証する一連のプロセスが含まれますが、それは単にデータのインベントリや保持よりも幅広く、全体的なデータ戦略、品質、保護を扱います。,データのラベル付け,データのラベル付けとは、データの性質や機密性を反映するために、データに記述子やラベルを割り当てることを指します。これはデータの種類を理解するのに役立ちますが、必ずしもデータのライフサイクルや保存期間を決定するものではありません。,Security Program Management and Oversight
問題24,プロセスがリソースを使用する前にその状態または値を検証し、その間に別のプロセスがそれを変更する場合に発生する競合状態のタイプは次のうちどれですか?,Time-of-check(TOC),バッファオーバーフロー,バッファオーバーフローは、割り当てられたバッファが保持できる量を超えるデータをプログラムが書き込み、隣接するメモリ位置を上書きするときに発生するメモリ破損の一種です。これにより、クラッシュ、コード実行、権限昇格が発生する可能性があります。,仮想マシン(VM)のエスケープ,仮想マシン(VM)エスケープは、別の種類のセキュリティ脆弱性です。VMエスケープは、仮想マシン内で実行されているユーザーまたはプロセスがホストシステムを突破してホストシステムと対話し、ホストシステムを侵害する可能性がある場合に発生します。,Time-of-check(TOC),Time-of-check(TOC)は、プロセスが使用前にリソースの状態または値をチェックし、その間に別のプロセスがそれを変更した場合に発生する競合状態の一種です。古い情報に基づいて、誤ったアクションや不正なアクションが発生する可能性があります。,Time-of-use(TOU),Time-of-use(TOU)は、最後のチェック以降変更されていないという前提に基づいてプロセスがリソースを使用するときに発生する競合状態の一種です。,"Threats, Vulnerabilities, and Mitigations"
問題31,インシデント対応に不可欠な次のセキュリティ機能のうち、セキュリティ侵害の検出と検査を支援するためにシステム内の一連のアクティビティを記録するものはどれですか?,インシデントログ,操作履歴,操作履歴とは、システム内のすべての操作の記録を指します。回答は不正解です,イベント監視,イベント監視は、システムイベントのリアルタイム追跡を伴うプロセスです。,インシデントログ,インシデントログは、システム内の連続的なアクティビティを記録する詳細な記録であり、セキュリティ侵害を検出、調査、理解するための重要なデータを提供します。,監査証跡,監査証跡は、製造・品質管理などの工程において、いつ、誰が、どのような処理を行ったのかを時系列で記録したものです。,Security Program Management and Oversight
問題47,地下データセンターでは、冷却システムが予期しない動作をしています。定期的なメンテナンスチェックが行われ、明らかな技術的問題がなかったにもかかわらず、冷却システムが突然シャットダウンし、温度の急上昇を引き起こし、複数のサーバーが過熱してクラッシュすることがありました。このパターンは不規則ですが、トラフィックのピーク時に最も頻繁に発生するようでした。このシナリオで最も適切に説明できるのは、次の種類の悪意のあるアクティビティのうちどれですか?,環境攻撃,RFIDのクローン作成,RFIDのクローン作成には、不正アクセスのためにRFIDデータをコピーすることが含まれています。回答は不正解です,DDoS攻撃,DDoS攻撃はオンラインシステムで使用される手法であり、物理環境に直接干渉するものではありません。,総当たり,総当たり攻撃とは、システム障害を引き起こすことではなく、不正な侵入を得るために多くの組み合わせを試みることです。,環境攻撃,環境攻撃は、システムが動作する物理環境を標的とします。ピーク時にサーバー障害を引き起こすために冷却システムを意図的に停止することは、この方法と一致します。,"Threats, Vulnerabilities, and Mitigations"
問題59,Dion Trainingは、従業員の安全なリモートアクセスを簡単に実現するためにTLS VPNを実装することを計画しています。VPNはポート443を使用し、クライアントに対してサーバーを認証し、オプションでクライアントの証明書を認証します。ユーザー認証用に暗号化されたトンネルが作成され、接続が完全に確立されると、ローカルネットワークの通信は安全なソケットを介してトンネリングされます。このシナリオにおいて、TLS VPNを適用することによって、同システムと関連して懸念される内容は次のうちどれですか?,エンドポイントセキュリティの確保,リアルタイムのネットワークトラフィックの監視,ネットワークトラフィックの監視は異常の検出には不可欠ですが、TLS VPNが通信チャネルを保護し、送信されたデータの可視性が制限される可能性があるため、ネットワークトラフィックを効果的に監視することは困難な場合があります。,堅牢なパスワードポリシーの実装,重要ではありますが、パスワードポリシーは普遍的な考慮事項であり、選択したTLS VPNリモートアクセスソリューションによって特に制限されるものではありません。,エンドポイントセキュリティの確保,TLS VPNは主にエンドポイントではなく通信トンネルを保護し、エンドポイントには影響を及ぼされないため、このセキュリティを考慮する必要があります。,ネットワークセグメンテーションの活用,ネットワークのセグメンテーションは重要ですが、その実装の有効性は、リモートアクセス用に選択したTLS VPNソリューションによって及ぼされるわけではありません。,Security Architecture
問題61,Dion Trainingでは、スーザンが最近IT部門に加わりました。同部門のReedは会社のベストプラクティス、セキュリティ手順、会社のデータと資産に関して概説した文書を彼女に手渡しました。組織のセキュリティ上のスタンスを確実に理解するために、ReedがSusanに渡したのは次のうちどれですか?,ポリシー・ハンドブック,インサイダー脅威トレーニングに関する書類,従業員が潜在的な内部関係者の脅威を理解することは重要ですが、これは特定のトレーニングであり、企業のさまざまな慣行を概説する包括的な文書ではありません。,状況認識,状況認識は概念であり、具体的な書類ではありません。,ポリシー・ハンドブック,ポリシー・ハンドブックは、会社のセキュリティ標準、慣行、および期待される動作を従業員に理解させるために提供される文書です。これは、重要な情報を特定し、敵から保護するプロセスを含みます。回答は不正解です,運用上のセキュリティに関する書類,運用上のセキュリティは設問の項目全てをカバーしているものではありません。,Security Program Management and Oversight
問題66,Kelly Innovations LLCは、以前に特定されたシステムの脆弱性を修正した後、修正手順が成功したことを確認したいと考えています。脆弱性レポートの検証プロセスを強化するために、関連するシステムおよびネットワークのログを調査する最良の方法は次のうちどれですか?,イベントログの確認,脅威モデリング,脅威モデリングは、潜在的な脅威を理解してマッピングするプロセスですが、ログを通じて脆弱性の修復を検証するものではありません。,イベントログの確認,イベントログは、システムとプロセスの動作についての洞察を提供します。これらのログを調べることで、組織は脆弱性が適切に対処されたかどうか、または依然として問題を引き起こしているかどうかを検証できます。回答は不正解です,再スキャン,再スキャンとは、脆弱性スキャンを再度実行して残りの脆弱性を特定することですが、システムログやネットワークログからの洞察は得られません。,パッチ管理,パッチ管理はシステムを常に最新の状態に保つことを目的としていますが、パッチ管理自体には、脆弱性の修復を検証するためのログの調査は含まれません。,Security Operations
問題75,コンプライアンス監視の文脈において、「デューデリジェンス/ケア」とは次のうちどれを指しますか?,コンプライアンス要件を満たすための措置を講じること,定期的に内部監査を実施すること,内部監査の実施は、組織が独自の行動、プロセス、管理を評価して、関連する規制へのコンプライアンスを確保するプロセスです。内部監査は、内部担当者またはチームによって実施される体系的かつ客観的な評価です。,コンプライアンス要件を満たすための措置を講じること,デューデリジェンス/ケアとは、コンプライアンス要件を満たし、維持するために組織が行う勤勉かつ積極的な取り組みを指します。これには、規制上の義務に合わせて必要なポリシー、手順、管理を導入することが含まれます。,自動化されたコンプライアンスチェック,自動化されたコンプライアンスチェックには、ソフトウェアツールとシステムを使用して、組織の規制要件への遵守状況を監視および評価することが含まれます。これらのツールは、組織の業務のさまざまな側面を自動的にスキャンして分析し、潜在的なコンプライアンス問題を特定します。,サードパーティベンダー契約の確認,サードパーティベンダー契約の確認は、ベンダー管理プロセスの一部です。これには、外部ベンダーとの契約合意を慎重に調査して、必要なセキュリティおよびプライバシーの基準に準拠していることを確認することが含まれます。,Security Program Management and Oversight
問題79,次の評価のうち、組織のセキュリティ対策と手順の徹底的な調査を最も正確に提供するものはどれですか?,行政検査,行政検査,行政検査には、特定の規制への準拠を確認するために政府または規制当局によって実施される評価が含まれます。,評価,「評価」という用語は幅広く、さまざまな種類の評価を指します。この文脈では、セキュリティ評価が含まれる場合がありますが、特に包括的なレビューを意味するものではありません。,認証,認証とは、コンプライアンスレポートの正確性と完全性を確認するプロセスを指します。これは、セキュリティ管理と実践の包括的なレビューとは直接関係ありません。回答は不正解です,独立した第三者監査,これはセキュリティ管理と実践の側面が含まれる場合がありますが、包括的なレビューにのみ焦点を当てているものではありません。,Security Program Management and Oversight
問題80,Bay Side Enterprisesは、ITインフラストラクチャサービスを提供するために新しいベンダーとパートナーシップを締結する予定です。彼らは、ベンダーとの関係において覚書(MOA)を締結したいと考えています。MOAの目的は何ですか?,2つの組織間のパートナーシップの役割や責任を定義するため,2つの組織間のパートナーシップの役割や責任を定義するため,覚書(MOA)は、役割、責任、全体的な目的など、2つの組織間のパートナーシップの条件を定義するために使用されます。,セキュリティ評価のための関与規則を確立するため,セキュリティ評価のための関与規則の確立は、関与規則文書などの別の文書で扱われます。,ベンダーのパフォーマンスが契約上の要件と一致していることを確認するため,ベンダーのパフォーマンスが契約上の要件と一致していることを確認することは重要ですが、それは覚書(MOA)の主な目的ではありません。回答は不正解です,ベンダーが提供する特定のサービスの概要を説明するため,覚書(MOA)には、提供されるサービスに関する詳細が含まれる場合がありますが、その主な目的はより広範であり、パートナーシップの条件を定義することに重点が置かれています。,
問題83,あなたは、仕事関連のタスクのために従業員にインターネットアクセスを許可する大規模な組織のセキュリティ管理者です。同組織は、従業員が悪意のあるWebサイトにアクセスすることによるマルウェア感染を懸念しています。セキュリティ管理者は、セキュリティを強化するためにレピュテーションベースのWebフィルタリングを使用することを推奨しています。レピュテーションベースのWebフィルタリングを使用する最も効果的な方法は次のどれですか?,クラウドベースのWebフィルタリングサービスを利用して、評判の悪いWebサイトへのアクセスをブロックします,特定の既知の悪意のあるWebサイトへのアクセスをブロックする拒否リストアプローチを有効にします,拒否リストのアプローチは、特定の既知の悪意のあるWebサイトへのアクセスをブロックできますが、すべての潜在的な脅威に対処するには十分ではない可能性があります。サイバー犯罪者は、新しい悪意のあるWebサイトを作成したり、正規のサイトを侵害したりすることがよくありますが、拒否リストは、これらの新たな脅威を捕捉するのに十分な速さで更新されない可能性があります。,許可リストアプローチを実装して、事前に承認されたWebサイトへのアクセスのみを許可します,許可リストによるアプローチでは、事前に承認されたWebサイトへのアクセスのみが許可されるため、従業員の生産性が大幅に制限される可能性があります。また、Webサイトが常に変化する場合、ホワイトリストを最新の状態に維持するのが難しい場合もあります。,静的URLフィルタリングを使用して悪意のあるWebサイトをブロックするローカルWebフィルタリングアプライアンスをインストールします,静的URLフィルタリングは事前定義されたリストとルールに依存しているため、新しい脅威にすぐには適応できない可能性があります。さらに、ローカルフィルタリングアプライアンスの管理と更新はリソースを大量に消費する可能性があり、クラウドベースのソリューションほど拡張性がない可能性があります。,クラウドベースのWebフィルタリングサービスを利用して、評判の悪いWebサイトへのアクセスをブロックします,評判の良しあしに基づいてWebサイトを分類するクラウドベースのWebフィルタリングサービスを利用することは、セキュリティを強化する効果的な方法です。クラウドベースのサービスは、Webサイトの評判を迅速に評価し、既知の悪意のあるサイトやフィッシングの試みに関連するサイトなど、評判の悪いサイトを特定してアクセスをブロックできます。このアプローチにより、新たな脅威に対するリアルタイムの保護が提供され、マルウェア感染やデータ侵害のリスクが最小限に抑えられます。,Security Operations
問題11,2つの組織間のパートナーシップの条件と、特定のプロジェクトや取り組みでどのように協力するかを定義する契約の種類はどれですか?,BPA（ビジネスパートナー規約）,BPA（ビジネスパートナー規約）,ビジネスパートナー契約(BPA)は、特定のビジネスベンチャーまたはパートナーシップにおける協力的な取り組み、役割、および責任を概説する2つの事業体間の契約上の取り決めです。,MOU（合意覚書）,覚書(MOU)は、相互理解と協力の意図を概説する2つ以上の当事者間の正式な合意です。これは法的拘束力のある契約の前段階の協議記録として機能し、将来の交渉の枠組みを確立します。,MSA（マスターサービス契約）,マスターサービス契約(MSA)は、当事者間の将来の複数の契約を管理する一般的な契約条件を規定する包括的な契約です。これには、個々のプロジェクトの特定の作業指示書または作業明細書を参照する場合があります。,SLA（サービスレベルアグリーメント）,サービスレベルアグリーメント(SLA)は、パフォーマンスメトリクス、応答時間、その他のサービス関連条件など、ベンダーに期待されるサービスレベルを定義する特定のタイプの契約です。,Security Program Management and Oversight
問題19,組織内のコンプライアンス監視における認証と承認の目的を最もよく説明しているものは次のうちどれですか?,経営陣から正式なコンプライアンス声明を入手します,経営陣から正式なコンプライアンス声明を入手します,コンプライアンス監視における証明と承認には、経営陣またはその他の責任者から正式なコンプライアンス声明を取得することが含まれます。このプロセスは、当局者が適用される規制や内部ポリシーを順守していることを確実に認識するのに役立ちます。,サードパーティベンダー契約を確認してコンプライアンスを確保します,サードパーティベンダー契約のレビューはコンプライアンス監視の一部である可能性がありますが、それは証明と承認の主な目的ではありません。回答は不正解です,内部コンプライアンス監査を実施し、すべてのコンプライアンス報告書を作成します,内部コンプライアンス監査の実施はコンプライアンス監視の重要な側面ですが、それは証明と承認の主な目的ではありません。,コンプライアンスのチェックと監査に自動ツールを使用します,コンプライアンスチェックに自動ツールを使用することはコンプライアンス監視の一部である可能性がありますが、それは証明と承認の主な目的ではありません。,Security Program Management and Oversight
問題26,Kelly Innovations LLCがハイブリッドクラウドのオプションを評価する際、不確実性や脅威といったリスクがどう移転するのかを理解するためには、次のうちどの要素を理解すればよいですか?,リスク移転,責任マトリックス,責任マトリックスは企業とクラウドプロバイダーの役割の概要を示していますが、リスクの移転については示されていません。,リスク移転,リスク移転を理解することは、ハイブリッドクラウドアーキテクチャを検討する際に不可欠です。これは、特定の責任とリスクをクラウドプロバイダーにどのように移転し、潜在的な責任を軽減するかを決定するのに役立ちます。,論理的なセグメンテーション,論理的なセグメンテーションは、ハイブリッドクラウドを考慮する際のネットワークセキュリティにとって重要ですが、エンティティ間でリスクがどのように伝達されるかを直接評価するものではありません。,エアギャップシステム,エアギャップシステムは一定レベルのセキュリティを提供しますが、他のエンティティへのリスクの移転には直接対応しません。,Security Architecture
問題62,デジタルフォレンジックにおいて、取得プロセスが最も重要である理由を最もよく説明しているものは次のうちどれですか?,デジタル証拠が正確で変更されていないことが認められます,デジタル証拠が正確で変更されていないことが認められます,証拠を正しく取得すると、証拠が変更されていないことが保証され、法的手続きにおいて証拠が認められ、価値あるものになります。,証拠と事件との関連性を判断します,取得はは証拠を正確に収集することであり、特定の事件との関連性を判断することではありません。,ITチームと法務チーム間のコミュニケーションのためのプラットフォームを提供します,取得プロセスとプラットフォームの提供は関係ありません。,法医学捜査官が犯罪現場に即座にアクセスできるようになります,取得段階ではアクセス権よりも証拠を変更しないようにすることが重要です。,Security Operations
問題65,Dion Training SolutionsのITスペシャリストであるSophieは、リモートアクセスポータルでのログイン試行数が突然急増していることに気づきました。複数のユーザーが、ログインを試行していないにもかかわらず、ログイン成功の通知を受信したと報告しています。ソフィーは、これらの試行で有効なユーザー名と、数週間前に変更された古いパスワードが使用されたことを確認しました。ソフィーが検出した悪意のあるアクティビティを最もよく表す用語は次のうちどれですか?,認証情報のリプレイ,認証情報のリプレイ,認証情報リプレイ攻撃では、攻撃者が以前に取得したユーザー資格情報を再利用して不正アクセスを取得します。この試みで古いパスワードが使用されていたことから、パスワードは以前に取得され、現在再生されている可能性があることが示唆されています。,セッションハイジャック,セッションハイジャックには、すでに確立されているユーザーセッションの乗っ取りが含まれます。ソフィーの観察はログイン試行に関するものであり、進行中のセッションを追い越すものではありません。,パスワード総当たり攻撃,パスワード総当たり攻撃は、正しいパスワードが特定されるまで多数の組み合わせを試行する攻撃方法です。有効なユーザー名と以前に有効だったパスワードの使用は、この方法には適していません。回答は不正解です,パスワードスプレー,パスワードスプレーでは、攻撃者は多くのアカウントに対していくつかの一般的なパスワードを試します。このシナリオでは、複数のアカウントに対する共通のパスワードではなく、以前は有効だった特定のパスワードが使用されていることについて説明しています。,"Threats, Vulnerabilities, and Mitigations"
問題67,Dion Trainingでは、管理チームが組織に導入する最適なガバナンス構造を評価しています。彼らは、重要な意見が失われないように、意思決定権限を部門間で分散することを望んでいます。彼らは、多様なグループが集まってデータを評価し、協力して意思決定を行うことで最良の決定が下されると信じています。彼らが望むガバナンス構造は次のうちどれですか?,委員会,階層,階層構造は厳格なトップダウンのアプローチに依存しており、決定は上位レベルで行われ、実行のために下位レベルに渡されます。この結果、意思決定者と現場の決定によって影響を受ける人々との間の断絶につながる場合があります。,委員会,委員会のガバナンス構造には、組織内のさまざまな部門または部門の代表者によるグループの形成が含まれます。このアプローチにより、社内のさまざまな部門からの専門知識と視点を活用して、集合的な意思決定プロセスが可能になります。さまざまな部門からの洞察を集めることで、委員会は意思決定がビジネスの複数の側面を考慮したものであることを保証できるため、効果的かつ効率的な運営に貢献する可能性が高くなります。回答は不正解です,取締役会,取締役会のガバナンスは通常、組織の取締役会の監視と意思決定に関連しており、取締役会は高レベルの戦略的意思決定とガバナンスの監視を担当しますが、異なる部門や部門にわたる意思決定の権限配分には関与しない場合があります。,集中,集中ガバナンスでは、意思決定の権限が1つの当局または部門に集中され、すべての主要な決定が中央の組織(多くの場合はトップレベルの経営陣)によって行われます。,Security Program Management and Oversight
問題72,次の用語のうち、多くの場合、新たに差し迫った脅威や組織内の重大な変化に対応して、必要に応じて実行されるリスク評価の種類を説明するものはどれですか?,アドホック,1回限り,1回限りの評価では、特定の時点での包括的なスナップショットが提供されますが、通常は、差し迫った脅威や新たな脅威に対応して実施されるものではありません。,アドホック,アドホック評価は必要に応じて実行され、多くの場合、特定のイベントまたは検出された脅威によってトリガーされ、リスク管理プロセスに柔軟性をもたらします。,継続的,継続的評価はリアルタイムのモニタリングを提供しますが、特定のイベントに対する必要に応じた対応ではなく、継続的なプロセスの一部です。,定期的,定期的な評価は一定の間隔で行われ、セキュリティ体制の維持には役立ちますが、突然のインシデントに対応するように特別に設計されたものではありません。,Security Program Management and Oversight
問題78,従業員は、Bluetoothを使用して、スマートフォンを正規と思われる周辺機器に接続します。周辺機器には気づかないうちに悪意のあるファームウェアが埋め込まれている場合、攻撃が実行できるようになります。このようなデバイスへの接続にはどのようなリスクが伴いますか?,悪意のある周辺機器によるリスク,ブルースナーフィング,ブルースナフィングとは、Bluetoothの脆弱性を悪用して、他人のデバイス上のデータに不正にアクセスする行為です。悪意のある周辺機器に接続するリスクについては特に言及していません。,ブルージャック,ブルージャッキングには、Bluetoothデバイスに一方的なメッセージを送信することが含まれます。これはスパムの一種であり、悪意のあるデバイスに接続するリスクを指すものではありません。,悪意のある周辺機器によるリスク,悪意のあるファームウェアを搭載した周辺機器を接続すると、重大なリスクが生じる可能性があります。このような悪意のある周辺機器の作成には多大なリソースが必要となるため、リスクの頻度は低くなりますが、影響は大きくなります。,デバイスの検出,デバイスの検出により、近くにいる他のユーザーがBluetoothデバイスを認識できるようになります。望ましくない接続のリスクが高まる可能性がありますが、周辺機器の悪意のあるファームウェアという特定の脅威は伴いません。,"Threats, Vulnerabilities, and Mitigations"
問題80,Naval Gazingのリスク管理チームが、組織が直面する可能性のある特定のリスクが財務に与える潜在的な影響を定量化することに取り組んでいます。彼らの目標は、今後5年間に特定されたリスクごとに予想される経済的損失を決定することです。彼らはリスク管理のどの要素に取り組んでいますか?,リスク分析,リスクの特定,リスクの特定はリスク管理プロセスの最初のステップであり、組織の環境内で潜在的なリスクが特定され、文書化されます。,リスク分析,リスク分析は、定量的および定性的な方法を通じて特定のリスクの財務的影響を決定するリスク管理プロセスの重要な部分です。これには、特定の期間における特定のリスクに対する財務上の損失の計算が含まれます。,リスク評価,リスク評価には、潜在的な影響と発生の可能性に基づいて、特定されたリスクを評価し、優先順位を付けることが含まれます。,リスク登録簿,リスク登録簿は、特定されたすべてのリスクとその潜在的な影響および軽減戦略の包括的な記録です。,Security Program Management and Oversight
問題2,料金詐欺や不正な通話制御の手段となる可能性がある、不正なVoiceoverIP(VoIP)シグナリングを防ぐために、無効にするか注意深く監視する必要があるポートは次のうちどれですか?,ポート5060,ポート5060,セッション開始プロトコル(SIP)、ポート5060は、Voiceover IP(VoIP)サービスのシグナリングに使用されます。このポートに不正にアクセスすると、料金詐欺や不正な通話制御が発生する可能性があります。,ポート139,Net BIOSのポート139は、VoIPシグナリングではなく、ローカルネットワーク上のファイルとプリントの共有に使用されます。,ポート110,ポストオフィスプロトコル(POP3)のポート110は、VoIPサービスとは無関係に、メールサーバーから電子メールを取得するために使用されます。,ポート161,Simple Network Management Protocol(SNMP)のポート161は、管理対象デバイスに関する情報の収集と整理に使用され、VoIPサービスとは無関係です。,"Threats, Vulnerabilities, and Mitigations"
問題15,Dion Training SolutionsのCISOであるJamarioは、多くの従業員が推測しやすい単純なパスワードを使用していることに気づきました。彼は従業員のアカウントのセキュリティを向上させたいと考えています。総当たり攻撃に対するパスワードセキュリティを強化する最も効果的な方法は何でしょうか?,長いパスワード用のポリシーを実装します,生体認証に切り替えます,生体認証によってセキュリティは向上しますが、ブルートフォース攻撃を受けやすい弱いパスワードの問題には直接対処できません。,長いパスワード用のポリシーを実装します,パスワードが長くなると、本質的に考えられる組み合わせの数が増えるため、総当たり攻撃に時間がかかり、成功する可能性が低くなります。,ファイアウォール ルールを定期的に更新します,ファイアウォールルールの更新はネットワークセキュリティにとって不可欠ですが、パスワードの強度には直接影響しません。,暗号化された通信チャネルを使用します,送信中のデータの暗号化は非常に重要ですが、弱いパスワードに対するブルートフォース攻撃を防ぐことはできません。,Security Operations
